Year,No. of Centrally Protected Ticketed ASI Monuments,Number of Visitors - Domestic,Number of Visitors - Foreign,Number of Visitors - Total,Annual Growth Rate(%) - Domestic,Annual Growth Rate(%) - Foreign,Annual Growth Rate(%) - Total
1996,68,NA,NA,10956764,NA,NA,NA
1997,68,NA,NA,15767820,NA,NA,43.9
1998,68,NA,NA,13317242,NA,NA,-15.5
1999,68,NA,NA,20502547,NA,NA,54
2000,126,NA,NA,19539127,NA,NA,-4.7
2001,126,NA,NA,20364901,NA,NA,4.2
2002,126,17333055,837012,18170067,NA,NA,-10.8
2003,126,19551820,1216615,20768435,12.8,45.4,14.3
2004,116,20356940,1788753,22145693,4.1,47,6.6
2005,116,21035864,2122436,23158300,3.3,18.7,4.6
2006,116,23815252,2250502,26065754,13.2,6,12.6
2007,116,23450419,2614254,26064673,-1.5,16.2,0
2008,117,28786608,2679763,31466371,22.8,2.5,20.7
2009,119,30804103,2195382,32999485,7,-18.1,4.9
2010,116,35770242,2998175,38768417,16.1,36.6,17.5
2011,116,40534481,2948065,43482546,13.3,-1.7,12.2
2012,116,43259075,3064778,46323853,6.7,4,6.5
2013,116,43019998,2995852,46015850,-0.6,-2.2,-0.7
2014,116,45425859,2792272,48218131,5.6,-6.8,4.8
2015,116,50988730,2620228,53608958,12.2,-6.2,11.2
2016,116,40167938,2379389,42547327,-21.22,-9.19,-20.63
2016-17*,116,45076706,2982601,48059307,NA,NA,NA
2017-2018,116,53803682,3630618,57434300,19.4,21.7,19.5
2018-19,116,49361389,3791034,53152423,-8.3,4.4,-7.5
